sample ID	forward sequence count	reverse sequence count
Osnat102-1-DL	110573	110573
Osnat104-3-DL	49971	49971
Osnat094-5-L	49816	49816
Osnat097-8-L	48319	48319
Osnat105-4-DL	48011	48011
Osnat100-11-L	46332	46332
Osnat103-2-DL	44291	44291
Osnat089-0-L	43228	43228
Osnat093-4-L	42883	42883
Osnat092-3-L	41718	41718
Osnat099-10-L	34839	34839
Osnat098-9-L	32747	32747
Osnat106-5-DL	32629	32629
Osnat101-12-L	27837	27837
Osnat091-2-L	12048	12048
Osnat090-1-L	10081	10081
Osnat158-M-2	7242	7242
Osnat096-7-L	1791	1791
Osnat095-6-L	1457	1457
