# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__Kouleothrix	0.0	0.0	130.0	375.0	481.0	511.0	0.0	14.0	528.0	391.0	331.0	554.0	225.0	1278.0	395.0	418.0	353.0	213.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	0.0	321.0	1324.0	1337.0	1585.0	26.0	58.0	1702.0	1627.0	1189.0	1824.0	1009.0	3722.0	748.0	737.0	890.0	616.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__Portibacter	0.0	0.0	198.0	600.0	759.0	692.0	0.0	42.0	961.0	709.0	635.0	846.0	559.0	1721.0	879.0	674.0	863.0	770.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	0.0	0.0	0.0	207.0	191.0	153.0	12.0	16.0	140.0	311.0	173.0	198.0	167.0	248.0	104.0	29.0	83.0	17.0	0.0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	0.0	0.0	0.0	192.0	95.0	267.0	0.0	0.0	388.0	198.0	178.0	229.0	90.0	542.0	27.0	45.0	4.0	21.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter	0.0	0.0	49.0	233.0	190.0	0.0	0.0	7.0	374.0	272.0	175.0	337.0	152.0	286.0	31.0	50.0	48.0	32.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	542.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	552.0	0.0	7.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;__	0.0	0.0	30.0	91.0	66.0	116.0	0.0	0.0	126.0	95.0	86.0	106.0	53.0	287.0	200.0	429.0	243.0	191.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia	0.0	0.0	19.0	119.0	112.0	134.0	0.0	0.0	245.0	176.0	0.0	211.0	160.0	318.0	78.0	78.0	89.0	59.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	0.0	40.0	142.0	108.0	166.0	0.0	3.0	176.0	160.0	96.0	186.0	32.0	389.0	231.0	398.0	280.0	152.0	0.0
