# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__Kouleothrix	0.0	0.0	130.0	375.0	481.0	511.0	0.0	14.0	528.0	391.0	335.0	554.0	225.0	1278.0	395.0	418.0	353.0	213.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hylemonella	0.0	0.0	152.0	405.0	348.0	417.0	0.0	36.0	517.0	521.0	314.0	698.0	439.0	741.0	244.0	273.0	272.0	261.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__	0.0	0.0	205.0	648.0	787.0	732.0	0.0	42.0	1018.0	739.0	665.0	1028.0	574.0	2078.0	881.0	700.0	890.0	790.0	14.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter	0.0	0.0	0.0	207.0	191.0	153.0	12.0	16.0	140.0	314.0	170.0	198.0	167.0	310.0	106.0	29.0	83.0	15.0	0.0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	0.0	0.0	0.0	190.0	95.0	270.0	0.0	0.0	388.0	198.0	178.0	229.0	90.0	542.0	27.0	45.0	4.0	21.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Simplicispira	0.0	0.0	0.0	123.0	90.0	182.0	0.0	0.0	252.0	153.0	146.0	201.0	113.0	410.0	91.0	108.0	147.0	143.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__	0.0	0.0	0.0	228.0	291.0	171.0	0.0	6.0	502.0	435.0	268.0	485.0	205.0	710.0	199.0	220.0	263.0	122.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	542.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	566.0	0.0	7.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;__;__	0.0	0.0	30.0	91.0	66.0	114.0	0.0	0.0	126.0	95.0	86.0	106.0	53.0	287.0	194.0	420.0	243.0	191.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	0.0	0.0	19.0	122.0	115.0	132.0	8.0	0.0	245.0	176.0	0.0	211.0	160.0	331.0	78.0	78.0	89.0	62.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__	0.0	0.0	27.0	75.0	75.0	112.0	0.0	0.0	108.0	90.0	63.0	124.0	0.0	254.0	90.0	216.0	115.0	55.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	0.0	0.0	12.0	98.0	163.0	112.0	0.0	4.0	190.0	151.0	95.0	216.0	96.0	642.0	984.0	1297.0	1135.0	912.0	11.0
