# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Kouleothrix	0.0	0.0	130.0	375.0	481.0	511.0	0.0	14.0	528.0	391.0	335.0	554.0	225.0	1278.0	395.0	418.0	353.0	213.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	0.0	253.0	1167.0	1211.0	1422.0	22.0	58.0	1657.0	1443.0	1116.0	1402.0	1022.0	3193.0	660.0	657.0	800.0	637.0	13.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;__	0.0	0.0	181.0	505.0	673.0	586.0	0.0	37.0	794.0	600.0	567.0	878.0	441.0	1646.0	516.0	433.0	515.0	544.0	4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8	0.0	0.0	17.0	95.0	91.0	127.0	0.0	5.0	170.0	109.0	75.0	116.0	118.0	305.0	365.0	244.0	358.0	235.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Poseidonibacter	0.0	0.0	0.0	207.0	191.0	138.0	12.0	16.0	140.0	311.0	162.0	198.0	167.0	192.0	106.0	0.0	83.0	2.0	0.0
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	0.0	0.0	0.0	192.0	95.0	270.0	0.0	0.0	388.0	198.0	178.0	229.0	90.0	542.0	27.0	45.0	4.0	21.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	0.0	0.0	89.0	376.0	375.0	134.0	0.0	7.0	519.0	448.0	286.0	539.0	275.0	532.0	32.0	50.0	64.0	40.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	542.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	566.0	0.0	7.0	0.0	0.0	0.0	43.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	0.0	0.0	30.0	91.0	66.0	123.0	0.0	0.0	126.0	95.0	86.0	106.0	53.0	287.0	200.0	435.0	243.0	191.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__	0.0	0.0	19.0	242.0	291.0	335.0	0.0	0.0	590.0	508.0	189.0	503.0	213.0	1117.0	231.0	214.0	251.0	149.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group	0.0	0.0	25.0	75.0	76.0	108.0	0.0	0.0	108.0	90.0	63.0	124.0	0.0	254.0	90.0	214.0	113.0	49.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	0.0	0.0	5.0	27.0	76.0	32.0	0.0	4.0	113.0	35.0	28.0	99.0	34.0	283.0	533.0	600.0	575.0	566.0	9.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	0.0	0.0	28.0	225.0	244.0	243.0	5.0	0.0	198.0	164.0	148.0	211.0	81.0	509.0	83.0	125.0	40.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax	0.0	0.0	32.0	91.0	82.0	100.0	0.0	0.0	0.0	76.0	93.0	94.0	0.0	289.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	0.0	0.0	2.0	60.0	52.0	62.0	2.0	0.0	250.0	72.0	133.0	234.0	47.0	469.0	55.0	94.0	74.0	35.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas	0.0	0.0	36.0	138.0	110.0	161.0	4.0	0.0	222.0	168.0	106.0	222.0	119.0	333.0	85.0	76.0	92.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767;g__AKYH767	0.0	0.0	15.0	50.0	27.0	47.0	0.0	0.0	54.0	50.0	25.0	60.0	32.0	134.0	141.0	168.0	162.0	100.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	0.0	0.0	0.0	120.0	79.0	108.0	0.0	0.0	138.0	99.0	84.0	89.0	33.0	274.0	156.0	165.0	156.0	96.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured	0.0	0.0	19.0	70.0	0.0	95.0	7.0	0.0	122.0	117.0	72.0	0.0	70.0	190.0	135.0	208.0	182.0	110.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas	0.0	0.0	0.0	48.0	38.0	68.0	0.0	0.0	194.0	136.0	72.0	146.0	93.0	330.0	3.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0.0	540.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus	0.0	0.0	21.0	66.0	56.0	63.0	0.0	5.0	105.0	91.0	64.0	74.0	48.0	192.0	22.0	27.0	0.0	2.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	0.0	398.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__	0.0	0.0	29.0	113.0	101.0	118.0	0.0	4.0	189.0	116.0	69.0	163.0	27.0	453.0	179.0	196.0	163.0	137.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea	0.0	0.0	11.0	3.0	56.0	56.0	0.0	0.0	59.0	39.0	34.0	78.0	24.0	170.0	4.0	20.0	14.0	11.0	0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__Haliangium	0.0	3.0	0.0	79.0	0.0	107.0	0.0	0.0	121.0	76.0	93.0	119.0	63.0	311.0	0.0	8.0	10.0	5.0	5.0
d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota;g__Latescibacterota	0.0	0.0	6.0	89.0	73.0	114.0	0.0	0.0	65.0	61.0	52.0	105.0	33.0	216.0	72.0	83.0	65.0	16.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hirschia	0.0	0.0	0.0	60.0	31.0	21.0	0.0	0.0	60.0	58.0	40.0	110.0	0.0	292.0	18.0	16.0	16.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__A0839;g__A0839	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	28.0	0.0	44.0	29.0	87.0	137.0	162.0	159.0	76.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophagaceae	0.0	0.0	0.0	42.0	47.0	62.0	0.0	0.0	0.0	70.0	27.0	60.0	22.0	162.0	47.0	146.0	93.0	32.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	0.0	43.0	12.0	36.0	48.0	66.0	0.0	0.0	120.0	98.0	62.0	56.0	42.0	315.0	22.0	14.0	4.0	31.0	3.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	17.0	3.0	13.0	20.0	0.0	34.0	119.0	217.0	147.0	73.0	2.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	0.0	0.0	0.0	24.0	22.0	0.0	0.0	0.0	51.0	0.0	31.0	56.0	21.0	117.0	69.0	61.0	68.0	62.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13;g__PLTA13	0.0	0.0	10.0	45.0	23.0	0.0	0.0	0.0	80.0	56.0	0.0	36.0	36.0	154.0	90.0	202.0	105.0	1.0	0.0
