# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Kouleothrix	0.0	0.0	130.0	375.0	481.0	511.0	0.0	14.0	528.0	391.0	335.0	554.0	225.0	1278.0	395.0	418.0	353.0	213.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	0.0	277.0	1084.0	1075.0	1189.0	30.0	58.0	1357.0	1270.0	1018.0	1499.0	965.0	2648.0	716.0	709.0	850.0	611.0	13.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	0.0	0.0	190.0	555.0	698.0	605.0	0.0	37.0	848.0	630.0	592.0	912.0	456.0	1775.0	519.0	454.0	544.0	555.0	14.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8	0.0	0.0	17.0	95.0	91.0	127.0	0.0	5.0	170.0	109.0	68.0	116.0	118.0	305.0	365.0	244.0	351.0	235.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;__	0.0	0.0	0.0	207.0	194.0	138.0	12.0	16.0	140.0	311.0	159.0	198.0	167.0	192.0	106.0	0.0	83.0	2.0	0.0
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	0.0	0.0	0.0	192.0	95.0	270.0	0.0	0.0	388.0	198.0	178.0	229.0	90.0	542.0	27.0	45.0	4.0	21.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__Phreatobacter	0.0	0.0	49.0	228.0	181.0	0.0	0.0	0.0	372.0	272.0	171.0	364.0	152.0	286.0	31.0	50.0	48.0	32.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	542.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	566.0	0.0	7.0	0.0	0.0	0.0	39.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	0.0	0.0	30.0	91.0	86.0	122.0	0.0	0.0	190.0	95.0	108.0	106.0	53.0	367.0	253.0	565.0	317.0	231.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__	0.0	0.0	19.0	242.0	190.0	139.0	0.0	0.0	423.0	317.0	96.0	211.0	160.0	687.0	78.0	82.0	89.0	59.0	0.0
